entity_id,state,last_changed
switch.wasserbett_heizung,off,2025-09-26T18:10:41.957Z
switch.wasserbett_heizung,on,2025-09-26T18:11:12.053Z
switch.wasserbett_heizung,off,2025-09-26T18:11:42.035Z
switch.wasserbett_heizung,on,2025-09-26T18:12:12.098Z
switch.wasserbett_heizung,off,2025-09-26T18:12:42.144Z
switch.wasserbett_heizung,on,2025-09-26T18:13:12.047Z
switch.wasserbett_heizung,off,2025-09-26T18:13:42.061Z
switch.wasserbett_heizung,on,2025-09-26T18:14:12.176Z
switch.wasserbett_heizung,off,2025-09-26T18:14:41.978Z
switch.wasserbett_heizung,on,2025-09-26T18:15:12.088Z
switch.wasserbett_heizung,off,2025-09-26T18:15:41.895Z
switch.wasserbett_heizung,on,2025-09-26T18:16:11.983Z
switch.wasserbett_heizung,off,2025-09-26T18:16:42.040Z
switch.wasserbett_heizung,on,2025-09-26T18:17:12.003Z
switch.wasserbett_heizung,off,2025-09-26T18:17:41.990Z
switch.wasserbett_heizung,on,2025-09-26T18:18:12.125Z
switch.wasserbett_heizung,off,2025-09-26T18:18:42.041Z
switch.wasserbett_heizung,on,2025-09-26T18:19:12.020Z
switch.wasserbett_heizung,off,2025-09-26T18:19:41.970Z
switch.wasserbett_heizung,on,2025-09-26T18:20:11.965Z
switch.wasserbett_heizung,off,2025-09-26T18:20:42.020Z
switch.wasserbett_heizung,on,2025-09-26T18:21:11.980Z
switch.wasserbett_heizung,off,2025-09-26T18:21:42.101Z
switch.wasserbett_heizung,on,2025-09-26T18:22:11.982Z
switch.wasserbett_heizung,off,2025-09-26T18:22:42.042Z
switch.wasserbett_heizung,on,2025-09-26T18:23:12.026Z
switch.wasserbett_heizung,off,2025-09-26T18:23:42.142Z
switch.wasserbett_heizung,on,2025-09-26T18:24:11.938Z
switch.wasserbett_heizung,off,2025-09-26T18:24:41.926Z
switch.wasserbett_heizung,on,2025-09-26T18:25:12.025Z
switch.wasserbett_heizung,off,2025-09-26T18:25:41.974Z
switch.wasserbett_heizung,on,2025-09-26T18:26:11.955Z
switch.wasserbett_heizung,off,2025-09-26T18:26:42.043Z
switch.wasserbett_heizung,on,2025-09-26T18:27:11.993Z
switch.wasserbett_heizung,off,2025-09-26T18:27:42.080Z
switch.wasserbett_heizung,on,2025-09-26T18:28:12.092Z
switch.wasserbett_heizung,off,2025-09-26T18:28:42.067Z
switch.wasserbett_heizung,on,2025-09-26T18:29:13.481Z
switch.wasserbett_heizung,off,2025-09-26T18:29:42.065Z
switch.wasserbett_heizung,on,2025-09-26T18:30:11.919Z
switch.wasserbett_heizung,off,2025-09-26T18:30:42.109Z
switch.wasserbett_heizung,on,2025-09-26T18:31:12.026Z
switch.wasserbett_heizung,off,2025-09-26T18:31:42.045Z
switch.wasserbett_heizung,on,2025-09-26T18:32:12.023Z
switch.wasserbett_heizung,off,2025-09-26T18:32:42.074Z
switch.wasserbett_heizung,on,2025-09-26T18:33:12.006Z
switch.wasserbett_heizung,off,2025-09-26T18:33:42.132Z
switch.wasserbett_heizung,on,2025-09-26T18:34:12.055Z
switch.wasserbett_heizung,off,2025-09-26T18:34:42.047Z
switch.wasserbett_heizung,on,2025-09-26T18:35:11.965Z
switch.wasserbett_heizung,off,2025-09-26T18:35:42.038Z
switch.wasserbett_heizung,on,2025-09-26T18:36:12.071Z
switch.wasserbett_heizung,off,2025-09-26T18:36:41.988Z
switch.wasserbett_heizung,on,2025-09-26T18:37:11.968Z
switch.wasserbett_heizung,off,2025-09-26T18:37:42.119Z
switch.wasserbett_heizung,on,2025-09-26T18:38:12.153Z
switch.wasserbett_heizung,off,2025-09-26T18:38:42.143Z
switch.wasserbett_heizung,on,2025-09-26T18:39:12.172Z
switch.wasserbett_heizung,off,2025-09-26T18:39:42.063Z
switch.wasserbett_heizung,on,2025-09-26T18:40:12.058Z
switch.wasserbett_heizung,off,2025-09-26T18:40:42.021Z
switch.wasserbett_heizung,on,2025-09-26T18:41:12.157Z
switch.wasserbett_heizung,off,2025-09-26T18:41:41.920Z
switch.wasserbett_heizung,on,2025-09-26T18:42:12.034Z
switch.wasserbett_heizung,off,2025-09-26T18:42:42.004Z
